No,Polres,Tanggal Kejadian,Waktu Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan,EAN, Rugi Material Kendaraan ,Tingkat Kecelakaan,Nama Jalan,Koordinat GPS - Lintang,Koordinat GPS - Bujur,Status Jalan,Fungsi Jalan,Kelas Jalan,Tipe Jalan,Bentuk Geometri,Cuaca,Kondisi Cahaya
1,KOTA SAMARINDA,2021-02-22,03:00:00,0,1,0,3," Rp250,000 ",Sedang,"Jl. P. Suryanata, Bukit Pinang, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75131, Indonesia",-0.425729725,117.0964449,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Hujan/ Grimis,Gelap / Sulit Terlihat
2,KOTA SAMARINDA,2021-03-20,02:00:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. Sultan Sulaiman, Sambutan, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75253, Indonesia",-0.519867687,117.2042899,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
3,KOTA SAMARINDA,2021-03-19,10:00:00,0,1,0,3," Rp100,000 ",Sedang,"Jl. P Antasari No.79, Air Putih, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.488155481,117.1267197,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
4,KOTA SAMARINDA,2021-03-19,15:00:00,0,1,0,3," Rp250,000 ",Sedang,"Jl. Wahid Hasyim 2 No.18, Sempaja Sel., Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.447392293,117.1547102,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
5,KOTA SAMARINDA,2021-03-22,02:00:00,0,1,0,3," Rp250,000 ",Sedang,"Jl. Ampera, Simpang Pasir, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.546018764,117.1502205,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Multi Simpang (Lebih dari 4),Cerah,Gelap / Sulit Terlihat
6,KOTA SAMARINDA,2021-03-29,00:30:00,0,2,0,6," Rp250,000 ",Sedang,"Jl. Slamet Riyadi No.14, Karang Asam Ilir, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75126, Indonesia",-0.51250834,117.1171878,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Tidak Diketahui,Redup / Samar (Tidak jelas terlihat)
7,KOTA SAMARINDA,2021-04-04,20:30:00,0,1,0,3," Rp100,000 ",Sedang,"Jl. Ampera, Mesjid, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.535246151,117.1509964,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Redup / Samar (Tidak jelas terlihat)
8,KOTA SAMARINDA,2021-04-14,15:30:00,0,1,0,3," Rp250,000 ",Sedang,"Jl. Sultan Sulaiman, Sambutan, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75253, Indonesia",-0.515549507,117.1990877,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Hujan/ Grimis,Terang / Jelas
9,KOTA SAMARINDA,2021-04-27,11:10:00,0,1,0,3," Rp100,000 ",Sedang,"Jl. Gajah Mada No.15, Ps. Pagi, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75111, Indonesia",-0.503255417,117.1459086,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
10,KOTA SAMARINDA,2021-05-01,21:30:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. Lempake Jaya, Lempake, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75112, Indonesia",-0.435094058,117.1888417,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Redup / Samar (Tidak jelas terlihat)
11,KOTA SAMARINDA,2021-07-03,16:30:00,0,1,1,6," Rp1,000,000 ",Sedang,"Jl. Soekarno Hatta No.20, Simpang Tiga, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur 75391, Indonesia",-0.576289058,117.090932,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Cerah,Terang / Jelas
12,KOTA SAMARINDA,2021-07-05,20:00:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. KH. Harun Nafsi No.1200, Rapak Dalam, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.547161333,117.1226246,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
13,KOTA SAMARINDA,2021-07-24,19:00:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. Apt. Pranoto No.56, Sungai Keledang, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75242, Indonesia",-0.527706451,117.1310082,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
14,KOTA SAMARINDA,2021-08-10,13:25:00,0,1,0,3," Rp400,000 ",Sedang,"Jl. Ir. H. Juanda No.78d, Sidodadi, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.481032124,117.1346912,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
15,KOTA SAMARINDA,2021-09-04,09:00:00,0,1,0,3," Rp200,000 ",Sedang,"Jl. P. Suryanata No.76, Air Putih, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.475310166,117.1231393,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
16,KOTA SAMARINDA,2021-09-04,09:30:00,0,1,0,3," Rp250,000 ",Sedang,"Jl. Kadrie Oening No.94, Air Putih, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75124, Indonesia",-0.47308669,117.1248301,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
17,KOTA SAMARINDA,2021-09-23,11:00:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. Jakarta 1, Lok Bahu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.506747853,117.0847964,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Cerah,Terang / Jelas
18,KOTA SAMARINDA,2021-09-24,11:00:00,0,3,0,9," Rp500,000 ",Sedang,"Jl. Poros Kebun Agung No.39, Lempake, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75113, Indonesia",-0.44898447,117.1934018,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
19,KOTA SAMARINDA,2021-10-13,14:00:00,0,1,0,3," Rp2,000,000 ",Sedang,"Jl. Kapten Soedjono Aj No.11, Sungai Kapih, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.518472996,117.1803283,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
20,KOTA SAMARINDA,2021-10-25,15:39:00,0,1,0,3," Rp400,000 ",Sedang,"H633+VJR, Lempake, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur, Indonesia",-0.445386732,117.2039888,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
21,KOTA SAMARINDA,2021-11-24,21:00:00,0,2,0,6," Rp500,000 ",Sedang,"Jl. Cendana No.3a, Tlk. Lerong Ulu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.501012506,117.118599,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
22,KOTA SAMARINDA,2021-11-17,11:00:00,0,1,0,3," Rp100,000 ",Sedang,"Jl. Ir. H. Juanda No.7, Air Hitam, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75124, Indonesia",-0.477880974,117.1366325,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
23,KOTA SAMARINDA,2021-12-13,04:00:00,0,1,1,6," Rp500,000 ",Sedang,"Jl. Stadion Utama No.160, Simpang Pasir, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.585572042,117.1180585,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Berkabut/ Berasap,Redup / Samar (Tidak jelas terlihat)
24,KOTA SAMARINDA,2021-12-19,17:00:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. Samarinda - Anggana No.23, Pulau Atas, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75115, Indonesia",-0.52929291,117.2212944,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
25,KOTA SAMARINDA,2021-12-18,00:30:00,0,1,0,3," Rp3,000,000 ",Sedang,"perumpuri RT02, Sungai Kapih, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.528791358,117.1630314,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
26,KOTA SAMARINDA,2021-12-28,19:40:00,0,1,0,3," Rp300,000 ",Sedang,"Unnamed Road, Sidodadi, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.472551943,117.1384041,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),X atau + (Simpang Empat),Cerah,Terang / Jelas
27,KOTA SAMARINDA,2021-12-07,02:30:00,1,0,0,12," Rp3,000,000 ",Berat,"Jl. Moh. Said No.73, Lok Bahu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.492061305,117.0962931,Jalan Kota / Kabupaten,Lokal / Lingkungan,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Hujan/ Grimis,Gelap / Sulit Terlihat
28,KOTA SAMARINDA,2021-10-30,18:00:00,1,0,0,12, Rp- ,Berat,"Jl. P. Suryanata No.36, RT.41, Bukit Pinang, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75131, Indonesia",-0.466233541,117.120047,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
29,KOTA SAMARINDA,2021-12-19,19:30:00,1,0,0,12," Rp4,000,000 ",Berat,"Jl. Cipto Mangunkusumo Gg. H. Baiduri No.d76, Harapan Baru, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.540076597,117.1041576,Jalan Propinsi,Kolektor,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Hujan/ Grimis,Gelap / Sulit Terlihat
30,KOTA SAMARINDA,2021-10-28,13:00:00,1,0,1,15," Rp1,000,000 ",Berat,"Jl. Cipto Mangunkusumo No.13, Sengkotek, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.540689119,117.0964372,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
31,KOTA SAMARINDA,2021-12-06,10:00:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. Jakarta No.8, Loa Bakung, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75129, Indonesia",-0.514676148,117.0923432,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
32,KOTA SAMARINDA,2021-11-24,01:30:00,1,1,2,21," Rp5,000,000 ",Berat,"F6J3+2J5, Sambutan, Samarinda City, East Kalimantan 75253, Indonesia",-0.519890485,117.2053084,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Cerah,Redup / Samar (Tidak jelas terlihat)
33,KOTA SAMARINDA,2021-01-01,01:00:00,1,0,1,15," Rp3,000,000 ",Berat,"Jl. Sultan Sulaiman No.32, Sambutan, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75253, Indonesia",-0.518049224,117.200579,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
34,KOTA SAMARINDA,2021-11-13,14:30:00,1,0,0,12," Rp1,500,000 ",Berat,"Jl. Jakarta No.88, Loa Bakung, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.516285743,117.0922956,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
35,KOTA SAMARINDA,2021-01-07,12:19:00,1,0,0,12," Rp300,000 ",Berat,"Jl. Cipto Mangunkusumo No.Kel, Gunung Panjang, Samarinda Seberang, Sungai Keledang, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75242, Indonesia",-0.537507825,117.1164314,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 TB (4 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
36,KOTA SAMARINDA,2021-01-01,11:30:00,1,0,1,15," Rp10,000,000 ",Berat,"Jl. A. Yani, Tanah Merah, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75113, Indonesia",-0.445475912,117.2065587,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
37,KOTA SAMARINDA,2021-01-06,05:00:00,1,0,0,12," Rp20,000,000 ",Berat,"Unnamed Road, Sidodadi, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.472545908,117.1384212,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),X atau + (Simpang Empat),Hujan/ Grimis,Terang / Jelas
38,KOTA SAMARINDA,2021-01-11,18:07:00,1,0,0,12," Rp800,000 ",Berat,"Jln, Jl. Jemb. Mahkota 2, Sungai Kapih, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.526042546,117.1664271,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Hujan/ Grimis,Terang / Jelas
39,KOTA SAMARINDA,2021-01-11,09:30:00,1,0,3,21," Rp300,000 ",Berat,"Jl. PM. Noor No.2, Sempaja Sel., Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75117, Indonesia",-0.451204265,117.1585448,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
40,KOTA SAMARINDA,2021-01-26,20:10:00,2,0,0,24," Rp5,000,000 ",Berat,"Jl. Yos Sudarso No.123, Pelabuhan, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242, Indonesia",-0.505404119,117.1520498,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
41,KOTA SAMARINDA,2021-01-30,00:22:00,1,0,0,12," Rp10,000,000 ",Berat,"Jl. Kebun Raya No.3, Sempaja Utara, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75131, Indonesia",-0.450149184,117.2019433,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Redup / Samar (Tidak jelas terlihat)
42,KOTA SAMARINDA,2021-02-02,16:26:00,1,0,0,12," Rp500,000 ",Berat,"Jl. Bhayangkara No.57, Bugis, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242, Indonesia",-0.49108267,117.1452306,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
43,KOTA SAMARINDA,2021-02-12,10:09:00,1,0,0,12," Rp1,000,000 ",Berat,"Jl. Harun Nafsi No.10, Rapak Dalam, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur 75242, Indonesia",-0.51513177,117.1447022,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
44,KOTA SAMARINDA,2021-02-08,11:50:00,2,0,0,24," Rp1,000,000 ",Berat,"Jl. Gamelan No.14, Dadi Mulya, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75242, Indonesia",-0.486370871,117.1494642,Jalan Kota / Kabupaten,Arteri,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
45,KOTA SAMARINDA,2021-02-12,18:00:00,1,0,0,12," Rp1,000,000 ",Berat,"Jl. Pattimura No.35, Rapak Dalam, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur 75132, Indonesia",-0.518856536,117.1461875,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
46,KOTA SAMARINDA,2021-02-13,20:00:00,1,1,0,15," Rp5,000,000 ",Berat,"Jl. Cipto Mangunkusumo No.35, Simpang Tiga, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur 75131, Indonesia",-0.56621317,117.087314,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
47,KOTA SAMARINDA,2021-02-15,08:00:00,1,0,0,12," Rp5,000,000 ",Berat,"Jl. Cipto Mangun Kusumo No.9a, Sungai Keledang, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75242, Indonesia",-0.533173564,117.1213291,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
48,KOTA SAMARINDA,2021-02-25,13:00:00,1,0,0,12, Rp- ,Berat,"Jl. Cipto Mangunkusumo No.18, Sengkotek, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75391, Indonesia",-0.549381765,117.0878417,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
49,KOTA SAMARINDA,2021-02-18,06:00:00,1,1,0,15," Rp3,000,000 ",Berat,"Unnamed Road, Sempaja Utara, Samarinda Kalér, Kota Samarinda, Kalimantan Timur 75124, Indonesia",-0.358075607,117.1819853,Jalan Desa,Lokal / Lingkungan,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
50,KOTA SAMARINDA,2021-02-27,19:30:00,2,0,0,24," Rp1,500,000 ",Berat,"Jl. RE Martadinata No.184, Tlk. Lerong Ilir, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75128, Indonesia",-0.500995743,117.1343616,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
51,KOTA SAMARINDA,2021-03-05,04:00:00,1,0,0,12," Rp2,500,000 ",Berat,"Jl. P. Suryanata No.52, Air Putih, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.472603574,117.1227306,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
52,KOTA SAMARINDA,2021-03-10,14:30:00,1,0,0,12," Rp5,000,000 ",Berat,"Jl. Jemb. Mahkota 2, Simpang Pasir, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.535230729,117.1558237,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),X atau + (Simpang Empat),Cerah,Terang / Jelas
53,KOTA SAMARINDA,2021-03-15,23:55:00,1,0,0,12," Rp3,000,000 ",Berat,"Jl. Untung Suropati No.35, Karang Asam Ulu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.519542818,117.1175345,Jalan Propinsi,Arteri,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Jembatan,Cerah,Terang / Jelas
54,KOTA SAMARINDA,2021-03-21,00:30:00,1,0,0,12," Rp10,000,000 ",Berat,"Jl. M. Said RT. 29 Kel, Blk. D, Lok Bahu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.489854934,117.102893,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
55,KOTA SAMARINDA,2021-03-26,21:35:00,2,0,0,24," Rp500,000 ",Berat,"Jl. Cendana Nyot Nyot678, Tlk. Lerong Ulu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.498962035,117.1211025,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
56,KOTA SAMARINDA,2021-03-30,07:16:00,1,0,0,12," Rp500,000 ",Berat,"Jl. Teuku Umar No.65, Karang Asam Ulu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.511470366,117.1071255,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
57,KOTA SAMARINDA,2021-03-31,07:25:00,1,0,0,12," Rp2,000,000 ",Berat,"Jl. A. Yani, Tanah Merah, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75116, Indonesia",-0.439524603,117.2180268,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Cerah,Terang / Jelas
58,KOTA SAMARINDA,2021-04-10,22:45:00,1,0,0,12," Rp2,000,000 ",Berat,"Jl. P. Suryanata No.11a, Air Putih, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75131, Indonesia",-0.469111456,117.1216738,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Redup / Samar (Tidak jelas terlihat)
59,KOTA SAMARINDA,2021-04-12,23:30:00,2,0,0,24," Rp500,000 ",Berat,"Jl. Brigjend Katamso No.64, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75117, Indonesia",-0.482545842,117.16077,Jalan Kota / Kabupaten,Arteri,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
60,KOTA SAMARINDA,2021-04-23,23:38:00,1,0,1,15," Rp20,000,000 ",Berat,"Jl. A. Yani, Tanah Merah, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75115, Indonesia",-0.443931677,117.2094417,Jalan Nasional,,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Cerah,Terang / Jelas
