No,Polres,Tanggal Kejadian,Waktu Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan,EAN, Rugi Material Kendaraan ,Tingkat Kecelakaan,Nama Jalan,Koordinat GPS - Lintang,Koordinat GPS - Bujur,Status Jalan,Fungsi Jalan,Kelas Jalan,Tipe Jalan,Bentuk Geometri,Cuaca,Kondisi Cahaya
465,KOTA SAMARINDA,2023-04-10,23:30:00,1,0,0,12," Rp10,000,000 ",Berat,"JL P. SURYANATA, RT -, RW -, TITIK KOORDINAT -0.4546486025636589, 117.11290249668266",-0.452215762,117.1114848,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Cerah,Gelap / Sulit Terlihat
466,KOTA SAMARINDA,2023-05-05,08:00:00,0,0,1,3," Rp5,000,000 ",Ringan,"JL PERJUANGAN, RT -, RW -, TITIK KOORDINAT -0.48947001681314845, 117.17771442521857",-0.489470017,117.1777144,Jalan Kota / Kabupaten,Lokal / Lingkungan,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
467,KOTA SAMARINDA,2023-05-10,20:30:00,1,0,1,15," Rp3,000,000 ",Berat,"JL MOEIS HASAN, RT -, RW -, TITIK KOORDINAT -0.5611711863497446, 117.09921571838076",-0.561171186,117.0992157,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Y (Simpang Tiga),Cerah,Gelap / Sulit Terlihat
468,KOTA SAMARINDA,2023-05-23,10:55:00,1,0,0,12," Rp3,000,000 ",Berat,"JL HAM. RIFADDIN, RT -, RW -, TITIK KOORDINAT -0.564222791402313, 117.10920375805122",-0.564219774,117.1091924,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
469,KOTA SAMARINDA,2023-05-29,14:10:00,1,0,1,15," Rp5,000,000 ",Berat,"JL RE. MARTADINATA, RT -, RW -, TITIK KOORDINAT -0.5008266620283003, 117.13488548081838",-0.500802371,117.1350873,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),T (Simpang Tiga),Cerah,Terang / Jelas
470,KOTA SAMARINDA,2023-05-30,00:30:00,0,0,1,3," Rp5,000,000 ",Ringan,"JL APT. PRANOTO, RT -, RW -, TITIK KOORDINAT -0.5262666013060997, 117.12866760893209",-0.526254532,117.128679,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
471,KOTA SAMARINDA,2023-05-31,00:45:00,2,0,0,24," Rp10,000,000 ",Berat,"JL POROS SAMARINDA BONTANG, RT -, RW -, TITIK KOORDINAT -0.41138576412141065, 117.23542841427397",-0.411386435,117.2354264,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Z (Tikungan tajam),Cerah,Gelap / Sulit Terlihat
472,KOTA SAMARINDA,2023-05-31,11:40:00,0,0,2,6," Rp5,000,000 ",Ringan,"JL TRIKORA, RT -, RW -, TITIK KOORDINAT -0.5705748097426021, 117.17583402594114",-0.570574474,117.1758468,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
473,KOTA SAMARINDA,2023-05-31,16:00:00,0,0,1,3," Rp1,000,000 ",Ringan,"JL KH. HARUN NAFSI, RT -, RW -, TITIK KOORDINAT -0.5196727806447365, 117.14000204841018",-0.519672781,117.1400017,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
474,KOTA SAMARINDA,2023-05-15,06:39:00,1,0,0,12," Rp1,000,000 ",Berat,"JL SLAMET RIYADI, RT -, RW -, TITIK KOORDINAT -0.5058891587412784, 117.11951145363713",-0.505886477,117.1194893,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Y (Simpang Tiga),Cerah,Terang / Jelas
475,KOTA SAMARINDA,2023-06-02,22:45:00,1,0,3,21," Rp10,000,000 ",Berat,"JL SOEKARNO HATTA KM. 4, RT -, RW -, TITIK KOORDINAT -0.590587927216274, 117.09476607695184",-0.590584575,117.0947647,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
476,KOTA SAMARINDA,2023-06-09,14:00:00,0,0,3,9," Rp500,000 ",Ringan,"JL H.A.M. RIFADDIN, RT -, RW -, TITIK KOORDINAT -0.5702938803093737",-0.570536008,117.1095931,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Berawan/ Mendung,Redup / Samar (Tidak jelas terlihat)
477,KOTA SAMARINDA,2023-06-09,20:00:00,1,0,0,12," Rp10,000,000 ",Berat,"JL STADION UTAMA PALARAN, RT -, RW -, TITIK KOORDINAT -0.5855005659240272, 117.12624311175365",-0.585502242,117.1262438,Jalan Kota / Kabupaten,Kolektor,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
478,KOTA SAMARINDA,2023-06-12,07:30:00,0,0,1,3," Rp2,000,000 ",Ringan,"JL PATTIMURA, RT -, RW -, TITIK KOORDINAT -0.5206864092529204, 117.14689518839288",-0.520682051,117.1468972,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Y (Simpang Tiga),Cerah,Terang / Jelas
479,KOTA SAMARINDA,2023-06-15,06:00:00,0,0,1,3," Rp10,000,000 ",Ringan,"JL AMPERA, RT -, RW -, TITIK KOORDINAT -0.5739054855322169, 117.1830595753961",-0.573921578,117.1830666,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),X atau + (Simpang Empat),Cerah,Redup / Samar (Tidak jelas terlihat)
480,KOTA SAMARINDA,2023-06-18,06:00:00,1,0,0,12," Rp20,000,000 ",Berat,"JL PELITA, RT -, RW -, TITIK KOORDINAT -0.4819290909089189, 117.16290410430902",-0.481929426,117.1629044,Jalan Kota / Kabupaten,Kolektor,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Redup / Samar (Tidak jelas terlihat)
481,KOTA SAMARINDA,2023-06-17,05:00:00,0,1,1,6," Rp30,000,000 ",Sedang,"JL SOEKARNO - HATTA KM. 3, RT -, RW -, TITIK KOORDINAT -0.5763696905023864, 117.0911552063453",-0.576353598,117.0911525,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
482,KOTA SAMARINDA,2023-05-16,13:05:00,0,0,1,3," Rp300,000 ",Ringan,"JL KEHEWANAN, RT -, RW -, TITIK KOORDINAT -",-0.494249571,117.1597732,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
483,KOTA SAMARINDA,2023-05-19,08:10:00,0,0,1,3," Rp250,000 ",Ringan,"JL URIP SUMOHARJO, RT -, RW -, TITIK KOORDINAT -",-0.493134149,117.1623099,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
484,KOTA SAMARINDA,2023-05-20,23:40:00,0,0,1,3," Rp500,000 ",Ringan,"JL GAJAH MADA, RT -, RW -, TITIK KOORDINAT -0.5015705693090149, 117.13909653074106",-0.501536372,117.1391049,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Cerah,Gelap / Sulit Terlihat
485,KOTA SAMARINDA,2023-05-23,19:20:00,0,0,1,3," Rp500,000 ",Ringan,"JL KEMAKMURAN. SAMARINDA, RT -, RW -, TITIK KOORDINAT -",-0.478919288,117.1642964,Jalan Kota / Kabupaten,Kolektor,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
486,KOTA SAMARINDA,2023-04-29,08:00:00,0,0,1,3," Rp100,000 ",Ringan,"JL TRIKORA. SAMARINDA, RT 29, RW -, TITIK KOORDINAT -",-0.542805287,117.1512089,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
487,KOTA SAMARINDA,2023-05-27,09:30:00,0,0,1,3," Rp100,000 ",Ringan,"JL KH. HARUS NAFSI, RT -, RW -, TITIK KOORDINAT -",-0.519535777,117.140179,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),T (Simpang Tiga),Cerah,Gelap / Sulit Terlihat
488,KOTA SAMARINDA,2023-05-25,07:30:00,0,0,1,3," Rp1,000,000 ",Ringan,"JL DAMANHURI II. SAMARINDA, RT 029, RW -, TITIK KOORDINAT -",-0.474056276,117.1822853,Jalan Desa,Lokal / Lingkungan,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
489,KOTA SAMARINDA,2023-05-25,19:35:00,0,0,1,3," Rp500,000 ",Ringan,"JL AW. SYAHRANI, RT -, RW -, TITIK KOORDINAT -",-0.472112746,117.1386766,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Jembatan,Cerah,Gelap / Sulit Terlihat
490,KOTA SAMARINDA,2023-06-27,11:00:00,0,0,1,3," Rp500,000 ",Ringan,"JL IR. SUTAMI. SAMARINDA, RT -, RW -, TITIK KOORDINAT -",-0.520665442,117.1108597,Jalan Kota / Kabupaten,Kolektor,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
491,KOTA SAMARINDA,2023-05-27,06:00:00,0,0,1,3," Rp500,000 ",Ringan,"JL JUANDA, RT -, RW -, TITIK KOORDINAT -",-0.479610268,117.1360018,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Cerah,Terang / Jelas
