No,Polres,Tanggal Kejadian,Waktu Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan,EAN, Rugi Material Kendaraan ,Tingkat Kecelakaan,Tipe Kecelakaan,Penyebab,Nama Jalan,Koordinat GPS - Lintang,Koordinat GPS - Bujur,Status Jalan,Fungsi Jalan,Kelas Jalan,Tipe Jalan,Bentuk Geometri,Cuaca,Kondisi Cahaya
19,KOTA BALIKPAPAN,2021-02-04,14:00:00,1,0,1,15," Rp10,000,000 ",Berat,Kendaraan tidak terkendali di simpang,Manusia,"Jl. Mayjen DI Panjaitan Rt 79 dekat swalayan Maxy Karang Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76124, Indonesia",-1.239548557,116.8459767,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Terang / Jelas,Cerah
20,KOTA BALIKPAPAN,2021-02-12,02:30:00,0,1,0,3," Rp500,000 ",Sedang,Tabrakan dengan kendaraan menyebrang dari sisi kanan jalan,Manusia,"Jl Soekarno Hatta KM.11 depan Kuburan Muslim Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76127, Indonesia",-1.176029858,116.8799669,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Cerah
21,KOTA BALIKPAPAN,2021-02-15,02:30:00,1,0,0,12," Rp1,000,000 ",Berat,Kendaraan Out of Control keluar ke kiri jalan,Manusia,"Jl. Jenderal Sudirman Depan Trakindo Utama, Kel.Gn Bahagia, Kec.Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114, Indonesia",-1.274290201,116.8726549,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
22,KOTA BALIKPAPAN,2021-02-17,23:30:00,1,0,0,12," Rp1,000,000 ",Berat,Tabrakan dengan kendaraan parkir di kiri,Manusia,Jl MayJend Sutoyo depan Dealer Nissan Gn Malang,-1.26890799,116.8446911,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 TB (4 Lajur/2 Arah Tanpa Batas Median),Tikungan,Redup / Samar (Tidak jelas terlihat),Cerah
23,KOTA BALIKPAPAN,2021-02-16,13:06:00,1,0,0,12," Rp1,000,000 ",Berat,Tabrak kendaraan belok kanan dengan kendaraan yang jalan lurus,Manusia,"Jl. Soekarno Hatta KM.15 Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76127, Indonesia",-1.147856454,116.8770879,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Cerah
24,KOTA BALIKPAPAN,2021-02-19,11:00:00,1,0,0,12," Rp1,000,000 ",Berat,Tabrakan depan - depan,Manusia,Jl Soekarno Hatta KM.21 dekat warung Troy Kel.Karang Joang Kec.Balikpapan Utara,-1.104159546,116.8870439,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Terang / Jelas,Cerah
25,KOTA BALIKPAPAN,2021-02-21,09:00:00,1,0,0,12," Rp1,000,000 ",Berat,"Di simpang, tabrakan dengan Kendaraan B yang datang dari arah kanan",Manusia,Jl MT Haryono simpang Indrakila dekat RS Kanujoso Balikpapan,-1.224017795,116.8666329,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 TB (4 Lajur/2 Arah Tanpa Batas Median),T (Simpang Tiga),Terang / Jelas,Cerah
26,KOTA BALIKPAPAN,2021-03-24,12:30:00,1,0,0,12," Rp1,000,000 ",Berat,Tabrakan saat menyalip dari kanan,Manusia,"Jl. Soekarno Hatta KM.15 depan Jl Giri Rejo Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76127, Indonesia",-1.150765204,116.8774343,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),T (Simpang Tiga),Terang / Jelas,Cerah
27,KOTA BALIKPAPAN,2021-03-23,14:00:00,1,0,0,12," Rp200,000 ",Berat,Tabrakan samping,Manusia,"Jl Jendral Ahmad Yani depan Gg Cemara RT.05 Kelurahan Gunung Sari Ulu, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76122, Indonesia",-1.25933855,116.8393321,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
28,KOTA BALIKPAPAN,2021-03-30,03:15:00,0,1,1,6," Rp10,000,000 ",Sedang,Tabrakan depan - depan,Manusia,"Jl. Soekarno Hatta KM.05 depan Perum Nirwana Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76125, Indonesia",-1.2127297,116.8611995,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 TB (4 Lajur/2 Arah Tanpa Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Cerah
